Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1
1,0.270400,0.147624,0.958566,0.958967,0.959548,0.958660
2,0.208100,0.159610,0.967331,0.971566,0.967198,0.968992
3,0.208300,0.107253,0.979283,0.981859,0.978254,0.979887
4,0.110800,0.143441,0.971315,0.971345,0.972149,0.971595
5,0.000200,0.149317,0.976892,0.979798,0.978749,0.979055
6,0.003700,0.161505,0.972112,0.974521,0.972893,0.973368
7,0.000200,0.154296,0.979283,0.981638,0.979323,0.980387
8,0.000000,0.152175,0.980080,0.982466,0.980731,0.981462
9,0.000000,0.141493,0.978486,0.980915,0.978654,0.979683
10,0.000000,0.141596,0.978486,0.980895,0.978625,0.979673
